id_registro,fuente_verificadora,url_origen,texto_crudo,categoria_original,label
1,boliviaverifica.bo,https://boliviaverifica.bo/falso-dockweiler-no-anuncio-alianza-con-jp-velasco/,Falso: Dockweiler no anunció alianza con JP Velasco,Falso,Alta
2,boliviaverifica.bo,https://boliviaverifica.bo/el-deber-no-publico-imagen-que-atribuye-a-otto-ritter-una-declaracion-sobre-angelica-sosa/,El Deber no publicó imagen que atribuye a Otto Ritter una declaración sobre Angélica Sosa,Falso,Alta
3,boliviaverifica.bo,https://boliviaverifica.bo/es-falsa-la-publicacion-con-datos-preliminares-atribuida-a-red-uno-sobre-la-segunda-vuelta-en-chuquisaca/,Es falsa la publicación con “datos preliminares” atribuida a Red Uno sobre la segunda vuelta en Chuquisaca,Falso,Alta
4,boliviaverifica.bo,https://boliviaverifica.bo/falso-imagen-de-mamen-saavedra-y-jp-velasco-fue-generada-con-ia/,Falso: imagen de Mamen Saavedra y JP Velasco fue generada con IA,Falso,Alta
5,boliviaverifica.bo,https://boliviaverifica.bo/esta-no-es-la-cuenta-de-luis-ayllon-candidato-de-gente-nueva-de-chuquisaca/,"Esta no es la cuenta de Luís Ayllón, candidato de Gente Nueva de Chuquisaca",Falso,Alta
6,boliviaverifica.bo,https://boliviaverifica.bo/la-encuesta-que-posiciona-a-oscar-chambi-con-45-en-oruro-es-falsa-y-no-esta-autorizada-por-el-tse/,La encuesta que posiciona a Óscar Chambi con 45% en Oruro es falsa y no está autorizada por el TSE,Falso,Alta
7,boliviaverifica.bo,https://boliviaverifica.bo/encuesta-difundida-en-redes-que-posiciona-a-soruco-en-primer-lugar-es-falsa/,Encuesta difundida en redes que posiciona a Soruco en primer lugar es falsa,Falso,Alta
8,boliviaverifica.bo,https://boliviaverifica.bo/audio-atribuido-al-candidato-luis-ayllon-fue-generado-con-inteligencia-artificial/,Audio atribuido al candidato Luis Ayllón fue generado con inteligencia artificial,Falso,Alta
9,boliviaverifica.bo,https://boliviaverifica.bo/es-falso-que-mamen-saavedra-haya-pedido-votar-por-libre-el-video-fue-alterado-con-ia/,"Es falso que Mamen Saavedra haya pedido votar por Libre, el video fue alterado con IA",Falso,Alta
10,boliviaverifica.bo,https://boliviaverifica.bo/este-audio-de-adrian-oliva-fue-manipulado-con-ia-incluso-el-video-de-unitel/,"Este audio de Adrián Oliva fue manipulado con IA, incluso el video de Unitel",Falso,Alta
11,boliviaverifica.bo,https://boliviaverifica.bo/las-plantas-nucleares-modulares-si-generan-residuos-y-no-pueden-enterrarse-simplemente-como-afirmo-otto-ritter/,"Las plantas nucleares modulares sí generan residuos y no pueden enterrarse simplemente, como afirmó Otto Ritter",Falso,Alta
12,boliviaverifica.bo,https://boliviaverifica.bo/es-falso-el-audio-atribuido-a-juan-carlos-medrano-que-circula-en-redes-tras-el-debate-electoral/,Es falso el audio atribuido a Juan Carlos Medrano que circula en redes tras el debate electoral,Falso,Alta
13,boliviaverifica.bo,https://boliviaverifica.bo/deepfake-audio-atribuido-a-medrano-sobre-un-financiamiento-a-juan-pablo-velasco-es-falso/,Deepfake: Audio atribuido a Medrano sobre un financiamiento a Juan Pablo Velasco es falso,Falso,Alta
14,boliviaverifica.bo,https://boliviaverifica.bo/es-falsa-la-encuesta-que-otorga-60-de-intencion-de-voto-a-tito-eguez-para-la-segunda-vuelta-en-el-beni/,Es falsa la encuesta que otorga 60 % de intención de voto a Tito Égüez para la segunda vuelta en el Beni,Falso,Alta
15,boliviaverifica.bo,https://boliviaverifica.bo/no-hay-evidencia-de-que-luis-revilla-haya-sellado-una-alianza-con-santos-quispe/,No hay evidencia de que Luis Revilla haya sellado una alianza con Santos Quispe,Falso,Alta
16,boliviaverifica.bo,https://boliviaverifica.bo/cristobal-colon-no-fue-el-primero-ni-el-unico-en-afirmar-que-la-tierra-es-redonda-ni-quien-lo-demostro/,"Cristóbal Colón no fue el primero ni el único en afirmar que la Tierra es redonda, ni quien lo demostró",Falso,Alta
17,boliviaverifica.bo,https://boliviaverifica.bo/santa-cruz-es-falso-que-el-tribunal-supremo-electoral-haya-inhabilitado-al-candidato-juan-pablo-velasco/,Santa Cruz: Es falso que el Tribunal Supremo Electoral haya inhabilitado al candidato Juan Pablo Velasco,Falso,Alta
18,boliviaverifica.bo,https://boliviaverifica.bo/juan-pablo-velasco-no-elogio-a-evo-morales-como-aseguran-en-un-video-en-tiktok/,Juan Pablo Velasco no elogió a Evo Morales como aseguran en un video en TikTok,Falso,Alta
19,boliviaverifica.bo,https://boliviaverifica.bo/falso-no-existen-encuestas-de-segunda-vuelta-para-la-gobernacion-de-santa-cruz/,Falso: no existen encuestas de segunda vuelta para la Gobernación de Santa Cruz,Falso,Alta
20,boliviaverifica.bo,https://boliviaverifica.bo/no-gente-nueva-no-estaba-haciendo-campana-politica-sino-de-limpieza/,"No, Gente Nueva no estaba haciendo campaña política, sino de limpieza",Falso,Alta
