id_registro,fuente_verificadora,url_origen,texto_crudo,categoria_original,label
1,chequeabolivia.bo,https://chequeabolivia.bo/es-verdad-que-la-nueva-directora-de-la-anh-fue-viceministra-de-evo-morales,"Es verdad que la nueva directora de la ANH fue viceministra de Evo Morales. Margot Ayala fue viceministra de Industrialización, Comercialización, Transporte y Almacenaje de Hidrocarburos desde 2017 hasta 2018. En TikTok circula que la nueva directora ejecutiva de la Agencia Nacional de Hidrocarburos (ANH), Margot Ayala, fue viceministra durante la gestión de Evo Morales ( 1 , 2 y 3 ). ChequeaBolivia verificó que la información es verdadera. Nuestro equipo confirmó la información tras buscar el nombre de la ejecutiva en publicaciones anteriores de medios de comunicación. Ayala fue viceministra de Industrialización, Comercialización, Transporte y Almacenaje de Hidrocarburos desde el 12 de julio de 2017, cargo que dependía del Ministerio de Hidrocarburos, durante la gestión del expresidente Evo Morales. En aquella ocasión, Ayala expresó su compromiso “por continuar con el proceso de cambio que vive el país, apoyando la industrialización que es uno de nuestros mayores retos y toda la política sectorial”, según una nota del periódico Opinión. La información también fue registrada en los portales del IBCE , la CBHE , Erbol , que publicaron notas y fotografías relacionadas. Captura de la nota de Erbol sobre la posesión de Ayala como Viceministra en 2017. De acuerdo con su perfil en LinkedIn , Ayala trabajó en ese Viceministerio hasta marzo de 2018. Después ocupó cargos en la Gerencia de Contratos de Exportación de Yacimientos Petrolíferos Fiscales Bolivianos (YPFB), y posteriormente impulsó emprendimientos ecológicos y artísticos, entre otros. Su actividad más reciente corresponde a una consultoría externa en el Banco Interamericano de Desarrollo (BID). No existen detalles públicos sobre su gestión como viceministra durante el Gobierno de Morales. ChequeaBolivia se contactó con el equipo de prensa de Ayala para obtener su versión. Hasta la fecha de esta publicación, no se recibió respuesta. Fuentes: Notas de prensa sobre la posesión de Ayala como viceministra disponibles en Opinión , IBCE , CBHE y Erbol Perfil profesional de Margot Ayala en LinkedIn Tags Margot Ayala ANH MAS Rodrigo Paz Tendencia Política Indeterminada Fecha Publicación Web Thu, 11/13/2025 - 08:53 Log in to post comments",Verdadero,Baja
2,chequeabolivia.bo,https://chequeabolivia.bo/garcia-linera-nunca-he-querido-ser-presidente-y-menos-vicepresidente,"García Linera: Nunca he querido ser presidente y menos vicepresidente. Los pasados días se estuvo viralizando la imagen que se reproduce a través de redes sociales en la que se lee una cita del vicepresidente Álvaro García Linera. Dicho texto es verdadero; sin embargo, corresponde a una entrevista de 2017. La declaración fue hecha por el Vicepresidente en una entrevista con Radio El Deber el 14 de febrero de 2017. Por tanto, que sea viralizada a más de dos años de su difusión, parece responder a una intención de manipulación. FUENTE: Radio El Deber Tags García Linera Log in to post comments",Verdadero,Baja
3,chequeabolivia.bo,https://chequeabolivia.bo/es-verdad-que-luis-arce-actualmente-gana-bs-24978-y-david-choquehuanca-bs-23591,"Es verdad que Luis Arce actualmente gana Bs. 24.978 y David Choquehuanca Bs. 23.591. Los datos de esta publicación difunden los salarios de 2019 y 2024 establecidos en los decretos supremos 3889 y 5155. Por Lucas Illanes En Facebook circula una publicación que muestra el aumento salarial de los más altos cargos ejecutivos del país: el presidente, vicepresidente y ministros. ChequeaBolivia verificó que se difunde información verdadera. La publicación compara cuánto aumentaron los salarios de estas autoridades desde 2019 hasta 2024 basándose en información recabada de decretos supremos 3889 y 5155 . Muestra que el sueldo del presidente del Estado, Luis Arce, aumentó de 24.251 en 2019 a 24.978 bolivianos en 2024; el del vicepresidente, David Choquehuanca, de 22.904 a 23.591 bolivianos; y el de los ministros, de 21.556 a 22.202 bolivianos. Para corroborar los datos, ChequeaBolivia revisó los decretos supremos 3889 y 5155 en la Gaceta Oficial del Estado y efectivamente, todas las cifras coinciden con los de la publicación. Ambos decretos son de incrementos salariales de funcionarios estatales, una promulgada en mayo de 2019 en la gestión del expresidente, Evo Morales, y otra en mayo de este año durante la gestión del presidente Arce. Esta medida corresponde a la decisión del Gobierno de incrementar en 5,85 por ciento el Salario Mínimo Nacional que corresponde a 2.500 bolivianos y el haber básico en 3 por ciento. Cabe aclarar que la publicación también presenta la diferencia entre los sueldos de estas autoridades entre 2019 y 2024. Aunque el sueldo del vicepresidente aumentó en 687 bolivianos y el de los ministros en 646 bolivianos, la publicación intercambia estas cifras. Esta falta de precisión no afecta la calificación de ""verdadero"" asignada por ChequeaBolivia. Fuentes: Decreto Supremo 3889 recabado de la Gaceta Oficial del Estado Decreto Supremo 5155 recabado de la Gaceta Oficial del Estado Nota publicada por el Ministerio de Economía y Finanzas Tags Luis Arce Catacora Economía David Choquehuanca Salario Tendencia Política Indeterminada Fecha Publicación Web Wed, 06/19/2024 - 17:18 Log in to post comments",Verdadero,Baja
4,chequeabolivia.bo,https://chequeabolivia.bo/el-video-viral-que-muestra-una-nina-recitar-un-poema-antiimperialista-en-el-aniversario-del-mas-es,"El video viral que muestra a una niña recitar un poema “antiimperialista” en el aniversario del MAS es verdadero. El hecho quedó registrado en las transmisiones en vivo de medios locales. El poema inicia así: “Maldito, gringo, imperialista, enfermo, capitalista”. Por Lucas Illanes Mediante Facebook, Tiktok y WhatsApp ( 1 , 2 , 3 , 4 , 5 ) se comparte un video en el que aparece una niña durante el aniversario del Movimiento Al Socialismo (MAS) recitando ante una multitud y líderes de este partido político un poema “antiimperialista” que comienza de la siguiente manera: “Maldito, gringo, imperialista, enfermo, capitalista”. ChequeaBolivia verificó que se trata de un video real. Tras una revisión a la transmisión en vivo de Radio Kausachun Coca por el aniversario del MAS celebrado el pasado domingo en Ivirgarzama, se comprobó que la niña empezó a recitar este poema a partir del minuto 29. En otra transmisión del evento difundida por Radio Carrasco también se escucha a la menor recitar el poema que compartieron los usuarios. El poema recitado es el siguiente: “Maldito gringo imperialista Enfermo, capitalista, fascista, racista, colonialista, golpista, imperialista Enemigo de la humanidad, mataste los sueños de la humanidad Armaste soldados en contra de la sociedad Sudamérica en su integridad clama libertad Hermanos originarios milenarios, hermanos originarios contemporáneos La patria nos llama, amenazado al exterminio, hay que salvar con honor y valor Somos anticapitalistas, somos antiimperialistas, Nunca nos rendimos, jamás nos rendiremos Revolución democrática cultural para salvar a la humanidad de la crisis social Paz con justicia social América Plurinacional Qué viva Evo Morales Qué viva el Estado Plurinacional”. Durante el evento, el maestro de ceremonias anunció a la menor con su nombre y su unidad educativa, lo que también se difunde por los medios mencionados. La grabación muestra que la niña recita el poema en presencia del presidente del Estado Luis Arce, el vicepresidente David Choquehuanca, el senador Andrónico Rodríguez, el expresidente Evo Morales, y otras figuras públicas del MAS. Fuentes: Transmisión en vivo de Radio Kausachun Coca archivada en Archive.li Transmisión en vivo de Radio Carrasco archivada en Archive.li Tags MAS Tendencia Política No simpatizantes del MAS Fecha Publicación Web Tue, 03/28/2023 - 17:03 Log in to post comments",Verdadero,Baja
5,chequeabolivia.bo,https://chequeabolivia.bo/index%2ephp/es-verdadero-el-tuit-del-presidente-electo-de-chile-donde-afirma-que-en-bolivia-hubo-golpe-en-2019,"Es verdadero el tuit del presidente electo de Chile donde afirma que en Bolivia hubo “golpe” en 2019. El tuit fue publicado el 10 de noviembre de 2019 en la cuenta verificada del presidente electo de Chile. En las redes sociales circula una imagen de un supuesto tuit del presidente electo de Chile, Gabriel Boric Font, acompañada del siguiente texto: “Terrible lo de Bolivia. Los golpes de Estado y la intervención militar nunca son las soluciones a crisis institucionales. Repudio absoluto al golpe en país hermano. Ojalá en nuestro país nadie vuelva a validar esta via para resolver nuestros problemas políticos”. ChequeaBolivia verificó que se trata de un contenido verdadero. ChequeaBolivia realizó una revisión en la cuenta oficial de Twitter de Boric y constató que, el 10 de noviembre de 2019, publicó dicha información a través de su cuenta de Twitter verificada. Terrible lo de Bolivia. Los golpes de Estado y la intervención militar nunca son las soluciones a crisis institucionales. Repudio absoluto al golpe en país hermano. Ojalá en nuestro país nadie vuelva a validar esta via para resolver nuestros problemas políticos. — Gabriel Boric Font (@gabrielboric) November 10, 2019 La captura de la imagen circula después de que el diputado José Manuel Ormachea de Comunidad Ciudadana solicitara que el presidente electo de Chile “reconozca que Evo Morales renunció producto del fraude que cometió”. Debemos demandarle al nuevo Pdte. de Chile @gabrielboric que reconozca que Evo Morales renunció producto del fraude que cometió.El Estado chileno reconoció la legalidad del Gobierno Transitorio 2019-2020 en Bolivia. Es un deber de todo Pdte. de Chile reafirmar ese reconocimiento. — José Manuel Ormachea ?? (@JoseMOrmachea) December 20, 2021 FUENTE: Revisión de la cuenta oficial de Twitter del presidente electo de Chile, Gabriel Boric Font Revisión hemerográfica Tags Gabriel Boric Tendencia Política Simpatizantes del MAS Fecha Publicación Web Tue, 12/21/2021 - 16:03 Log in to post comments",Verdadero,Baja
6,chequeabolivia.bo,https://chequeabolivia.bo/es-verdad-que-barrientos-y-ormachea-de-comunidad-ciudadana-se-vacunaron-fuera-del-rango-de-edad,"Es verdad que Barrientos y Ormachea de Comunidad Ciudadana se vacunaron fuera del rango de edad. Ambos asambleístas están registrados como vacunados en el Sistema Único de Salud. En Facebook y Twitter circulan carnets de vacunación de los asambleístas de Comunidad Ciudadana (CC), Andrea Barrientos y José Manuel Ormachea, ambos de 32 años de edad, indicando que habrían sido inmunizados contra el coronavirus. ChequeaBolivia constató que se trata de información verdadera. ChequeaBolivia mediante el escaneo del código QR del carnet de vacunación que circulaba en Twitter con los datos de la senadora Andrea Barrientos constató que el documento era real. El código QR condujo al sitio web del Sistema Único de Salud (SUS) donde se encuentran las fichas de vacunación de todos los ciudadanos inmunizados en el país, mediante el que se corroboró que Barrientos fue vacunada el 1 de junio en el Centro de Salud Integral “Asistencia Pública”; cuando para la fecha los únicos habilitados para vacunarse según el Ministerio de Salud y Deportes eran las personas mayores de 40 años, o que presentaran enfermedades de base, además de policías, maestros, choferes del transporte público urbano, periodistas y personal de salud, trabajadores que presentan mayores posibilidades de contagio. ChequeaBolivia contactó a Barrientos para consultar bajo qué motivo se la inmunizó, a lo que la senadora aseguró que la habían vacunado en la Cámara de Senadores, y no respondió más interrogantes. Por lo tanto, ChequeaBolivia se contactó con la Unidad de Comunicación de la Cámara de Senadores para corroborar la versión de Barrientos, pero se derivó la consulta a la Dirección Social de la Cámara, desde dónde nuevamente derivaron la consulta a la Unidad de Comunicación, quienes ya no contestaron. Del mismo modo, en Facebook circulaba el carnet de vacunación del diputado de CC, José Manuel Ormachea , de también 32 años, cuya búsqueda en el sitio web del SUS certifica su vacunación el 26 de mayo, el mismo día que, según el Viceministerio de Comunicación, iniciaba la vacunación a mayores de 40 años y/o los trabajadores antes mencionados. Mediante una publicación en su página de Facebook, Ormachea aseguró que se vacunó en la Cámara de Diputados bajo el criterio de la aglomeración que existe en el hemiciclo de la Asamblea. Además, mediante su cuenta de Twitter compartió la imagen de un comunicado de la Oficialía Mayor, que mediante la Dirección de Recursos Humanos de la Cámara de Diputados instruyó que el 15 de junio se aplicaría la segunda dosis de la vacuna de Sinopharm a quienes recibieron la primera dosis el 26 de mayo. (*) En contacto con ChequeaBolivia, Ormachea señaló que tanto diputados de oposición como del oficialismo fueron vacunados sin importar el rango de edad, tras gestiones realizadas por el presidente de la Cámara de Diputados, Freddy Mamani para habilitar un punto de vacunación. Recalcó que su vacunación no fue ilegal, sino todo lo contrario. Para los que me acusan de haberme vacunado ""ilegalmente"". Acá la prueba de que no es así. pic.twitter.com/Bf5VytkZui — José Manuel Ormachea ?? (@JoseOrmi) June 15, 2021 (*) ChequeaBolivia incluye este cambio en la nota publicada a solicitud del diputado de Comunidad Ciudadana (CC), José Ormachea a las 17:42 del 16 de junio de 2021, en contacto con ChequeaBolivia. FUENTES Ministerio de Salud y Deportes – Bolivia Segura Página de Facebook del Viceministerio de Comunicación Servicio Único de Salud Andrea Barrientos Página de Facebook de José Manuel Ormachea Cuenta de Twitter de José Manuel Ormachea Tags Vacunación Tendencia Política Simpatizantes del MAS Fecha Publicación Web Wed, 06/16/2021 - 14:34 Log in to post comments",Verdadero,Baja
7,chequeabolivia.bo,https://chequeabolivia.bo/es-verdad-que-el-sistema-nacional-de-informacion-en-salud-registro-evaliz-morales-como-vacunada,"Es verdad que el Sistema Nacional de Información en Salud registró a Evaliz Morales como vacunada contra el COVID-19. El código QR dirige a un enlace del Registro Nominal de Vacunación Electrónica del Sistema Nacional de Información en Salud. Por Lucas Illanes En Facebook y Twitter circula una imagen de un carnet de vacunación Covid- 19  mostrando que la hija del expresidente Evo Morales, Evaliz Morales Alvarado, de 26 años, recibió su primera dosis. ChequeaBolivia verificó que la información es verdadera. La imagen que se comparte en Facebook no permitía ver todos los detalles debido a su baja resolución. Tras una búsqueda en Twitter, ChequeaBolivia constató que una usuaria publicó otra imagen que muestra con más claridad otros elementos, como ser el código QR. El escaneo de este código dirige a un enlace del Registro Nominal de Vacunación Electrónica del Sistema Nacional de Información en Salud, en el que se establece que se vacunó a Evaliz Morales en la Caja Bancaria Estatal de Salud – “Clinica Modelo La Paz"" con la primera dosis de la vacuna Sputnik-V. La fecha de la vacunación es del 24 de mayo 2021. La página web de la Caja Bancaria Estatal de Salud indica en un comunicado del 24 de mayo que se vacuna a personas de 40 a  mayores a 60 años “con o sin patologías de base”. Para asegurar que se trata de la hija de Morales de 26 años de edad, ChequeaBolivia verificó que la fecha de nacimiento de la persona registrada como vacunada  (24.09.1994) coincide con la información brindada de medios de comunicación en anteriores ocasiones ( 1 , 2 y 3 ). La última disposición del Gobierno establece que de acuerdo a lo programado sólo las personas mayores de 40 años y choferes del transporte público pueden vacunarse. El Gobierno permite que otros sectores como ser periodistas, personal médico, policías y personas con enfermedad de base, entre otros, también acudan a los centros de vacunación. ChequeaBolivia se contactó con Evaliz Morales vía Twitter, quien es funcionaria pública de la Procuraduría General del Estado , para pedir aclaraciones al respecto. Hasta el momento de esta publicación, no se obtuvo una respuesta. Fuentes: Enlace del Registro Nominal de Vacunación Electrónica del Sistema Nacional de Información en Salud registrado con archive.today Revisión hemerográfica ( 1 , 2 y 3 ) Página web del Viceministerio de Comunicación página web de la Caja Bancaria Estatal de Salud Tuit del procurador general del Estado, Wilfredo Chávez Tags Evaliz Morales Fecha Publicación Web Sun, 06/13/2021 - 13:07 Log in to post comments",Verdadero,Baja
8,chequeabolivia.bo,https://chequeabolivia.bo/index%2ephp/es-verdad-que-el-ministerio-de-gobierno-publico-que-diputado-colque-de-40-anos-es-de-la-tercera,"Es verdad que el Ministerio de Gobierno publicó que diputado Colque de 40 años es de la “tercera edad”. La información fue editada aunque sigue visible debido a que se observa en el historial de cambios que se hizo en una publicación. Por Lucas Illanes En Twitter circula información indicando que el diputado del Movimiento Al Socialismo (MAS), Antonio Colque, de 40 años “aparece como persona de la tercera edad” en una publicación del Ministerio de Gobierno. ChequeaBolivia verificó que la información es verdadera. Varios medios de comunicación registraron, el 8 de junio, en una sesión de la Asamblea Legislativa, a la que asistió el ministro de Gobierno, Eduardo del Castillo, para una interpelación, una pelea entre legisladores del oficialismo y la oposición. A través de una revisión de la página de Facebook del Ministerio de Gobierno, ChequeaBolivia verificó que la entidad estatal publicó lo siguiente : “ El senador por Creemos, Henry Cabrera, se abalanzó a los puños sobre un diputado de la tercera edad, el diputado Colque, representante de los pueblos indígenas, quien se encuentra con golpes en su integridad”. Posteriormente, se editó esta información aunque sigue visible debido a que se observa en el historial de cambios que se hizo en una publicación. Distintos medios de comunicación también informaron que Colque era una persona de la tercera edad ( 1 , 2 , 3 y 4 ). De acuerdo a la Ley General de las Personas Adultas Mayores , son adultas mayores las personas que tienen “sesenta (60) o más años”. Consultado por el tema, Colque aseguró a ChequeaBolivia que la información que circula es “falsa”. “ Tengo 40 años”, afirmó. Además, la página web de la Cámara de Diputados señala que Colque nació el 8 Marzo de 1981 . Fuentes: Publicación de la página de Facebook del Ministerio de Gobierno recabado del historial de cambios Ley General de las Personas Adultas Mayores Diputado Antonio Colque Página web de la Cámara de Diputados Publicaciones de medios de comunicación ( 1 , 2 , 3 y 4 ) Tags Ministerio de Gobierno Fecha Publicación Web Thu, 06/10/2021 - 14:49 Log in to post comments",Verdadero,Baja
9,chequeabolivia.bo,https://chequeabolivia.bo/index%2ephp/camara-de-diputados-borra-un-tuit-que-muestra-lidia-patty-aprobando-ley-de-prorroga-de-mandato,"Cámara de Diputados borra un tuit que muestra a Lidia Patty aprobando ley de “prórroga de mandato constitucional” que incluía a Áñez. El tuit eliminado se publicó el 17 de enero del 2020 y quedó registrado en WayBack Machine Por Lucas Illanes En Facebook circula la información de que la cuenta de Twitter de la Cámara de Diputados de Bolivia eliminó un tuit que anunciaba la sanción por unanimidad de la “Ley Excepcional de Prórroga de Mandato Constitucional de Autoridades Electas”, entre las que se incluía a Jeanine Áñez.  ChequeaBolivia verificó que es información verdadera. Tras una revisión a la cuenta de oficial de esta instancia legislativa , se constató que el tuit no está disponible. Sin embargo, el tuit quedó registrado con una herramienta, Wayback Machine, que sirve para almacenar contenidos que pueden ser eliminados. El tuit fue publicado el 17 de enero del 2020. En estas fotografías aparece la exdiputada del MAS Lidia Patty levantando la mano. Patty inició un proceso penal que denuncia  un “golpe de Estado”. “El pleno de la Cámara de Diputados sanciona por unanimidad la ‘Ley Excepcional de Prórroga de Mandato Constitucional de Autoridades Electas’”, anunció la cuenta en esa ocasión . Captura del  tuit eliminado que fue recuperado de WayBack Machine. Varios medios replicaron esta información pues esta ley incluía la prórroga de mandato de la expresidenta Jeanine Áñez  ( 1 , 2 , 3 y 4 ). Posteriormente esta norma fue promulgada por Áñez y permanece en la Gaceta Oficial de Bolivia . En su artículo 4 se establece: “ Excepcionalmente se prorroga el mandato de la Presidenta del Estado Plurinacional, las y los Asambleístas de la Asamblea Legislativa Plurinacional y las Autoridades Electas de las Entidades Territoriales Autónomas elegidas para el periodo 2015-2020 hasta la posesión de las nuevas autoridades para el periodo 2020-2025”. Fuentes: Cuenta de Twitter de la Cámara de Diputados Tuit eliminado recuperado de WayBack Machine Revisión de hemeroteca ( 1 , 2 , 3 y 4 ) Gaceta Oficial de Bolivia Tags Cámara de Diputados Tendencia Política No simpatizantes del MAS Fecha Publicación Web Wed, 03/17/2021 - 12:06 Log in to post comments",Verdadero,Baja
10,chequeabolivia.bo,https://chequeabolivia.bo/arce-si-reconocio-anez-como-presidenta-transitoria-constitucional-durante-una-entrevista-en-2020,"Arce sí reconoció a Áñez como presidenta “transitoria constitucional” durante una entrevista en 2020. “Es transitoria constitucional"", respondió en una entrevista el 21 de mayo 2020. En Facebook se comparte un video  en el que se observa al presidente del Estado, Luis Arce Catacora, en una entrevista afirmando que la expresidenta, Jeanine  Áñez, es “transitoria constitucional”. ChequeaBolivia verificó que el contenido es verdadero. Se trata una entrevista a Arce cuando era candidato presidencial en un programa  televisivo emitido el 21 de mayo 2020 y conducido por la periodista Jimena Antelo. La entrevista se subió a YouTube en el canal “No Mentiras PAT”. A partir del min 40 y 54’’ del video , se escucha que Antelo pregunta a Arce si Áñez “es presidenta constitucional o de facto” en cuatro oportunidades, a lo que él respondió: “Es transitoria constitucional”. A continuación se muestra el fragmento del video. La jueza Regina Santa Cruz  decidió  el domingo (14.03.2021) enviar a la expresidenta Jeanine Áñez y  a dos exministros  a prisión preventiva durante cuatro meses por el caso “Golpe de Estado” ( 1 , 2 , y 3 ). Fuentes: Entrevista de Luis Arce en No Mentirás Revisión de hemeroteca ( 1 , 2 , y 3 ) Tags Luis Arce Catacora Tendencia Política No simpatizantes del MAS Fecha Publicación Web Tue, 03/16/2021 - 16:31 Log in to post comments",Verdadero,Baja
