id_registro,fecha_publicacion,fuente_verificadora,url_origen,texto_crudo,categoria_original
1,,chequeabolivia.bo,https://chequeabolivia.bo/encuesta-falsa-posiciona-riony-villarroel-en-primer-lugar-en-la-alcaldia-de-sacaba,Encuesta falsa posiciona a Riony Villarroel en primer lugar en la Alcaldía de Sacaba,Falso
2,,chequeabolivia.bo,https://chequeabolivia.bo/imagen-falsa-atribuye-al-noticiero-aqui-en-vivo-una-declaracion-de-ruth-nina-agradeciendo-jorge,Imagen falsa atribuye al noticiero “Aquí en Vivo” una declaración de Ruth Nina agradeciendo a Jorge “Tuto” Quiroga,Falso
3,,chequeabolivia.bo,https://chequeabolivia.bo/unitel-no-publico-que-jorge-tuto-quiroga-gano-el-debate-presidencial,Unitel no publicó que Jorge “Tuto” Quiroga ganó el debate presidencial,Falso
4,,chequeabolivia.bo,https://chequeabolivia.bo/los-videos-de-marcelo-claure-y-samuel-doria-medina-que-prometen-miles-de-bolivianos-son-falsos,Los videos de Marcelo Claure y Samuel Doria Medina que prometen miles de bolivianos son falsos,Falso
5,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/es-falso-que-medio-de-honduras-anuncio-que-jorge-tuto-quiroga-gano-las-elecciones,Es falso que medio de Honduras anunció que Jorge “Tuto” Quiroga ganó las elecciones,Falso
6,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/circula-encuesta-falsa-de-empresa-extranjera-poniendo-samuel-doria-medina-como-ganador,Circula encuesta falsa de empresa extranjera poniendo a Samuel Doria Medina como ganador,Falso
7,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/encuesta-falsa-de-whatsapp-posiciona-jaime-dunn-como-favorito-para-las-elecciones,Encuesta falsa de WhatsApp posiciona a Jaime Dunn como favorito para las elecciones,Falso
8,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/encuesta-que-posiciona-jorge-tuto-quiroga-como-favorito-es-falsa,Encuesta que posiciona a Jorge Tuto Quiroga como favorito es falsa,Falso
9,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-postergaron-las-elecciones-judiciales-para-el-29-de-diciembre,Es falso que postergaron las Elecciones Judiciales para el 29 de diciembre,Falso
10,,chequeabolivia.bo,https://chequeabolivia.bo/circula-una-encuesta-falsa-sobre-las-elecciones-judiciales-atribuida-fundacion-jubileo,Circula una encuesta falsa sobre las Elecciones Judiciales atribuida a Fundación Jubileo,Falso
11,,chequeabolivia.bo,https://chequeabolivia.bo/tuto-quiroga-no-anuncio-su-candidatura-las-proximas-elecciones-tras-conocer-la-victoria-de-velasco,Tuto Quiroga no anunció su candidatura a las próximas elecciones tras conocer la victoria de Velasco,Falso
12,,chequeabolivia.bo,https://chequeabolivia.bo/esta-encuesta-de-intencion-de-voto-que-da-como-ganadora-maria-rene-soruco-en-tarija-es-falsa,Esta encuesta de intención de voto que da como ganadora a María René Soruco en Tarija es falsa,Falso
