id_registro,fecha_publicacion,fuente_verificadora,url_origen,texto_crudo,categoria_original
1,2026-04-23T17:10:06,boliviaverifica.bo,https://boliviaverifica.bo/falso-dockweiler-no-anuncio-alianza-con-jp-velasco/,Falso: Dockweiler no anunció alianza con JP Velasco,Falso
2,2026-04-23T15:55:02,boliviaverifica.bo,https://boliviaverifica.bo/el-deber-no-publico-imagen-que-atribuye-a-otto-ritter-una-declaracion-sobre-angelica-sosa/,El Deber no publicó imagen que atribuye a Otto Ritter una declaración sobre Angélica Sosa,Falso
3,2026-04-19T18:37:44,boliviaverifica.bo,https://boliviaverifica.bo/es-falsa-la-publicacion-con-datos-preliminares-atribuida-a-red-uno-sobre-la-segunda-vuelta-en-chuquisaca/,Es falsa la publicación con “datos preliminares” atribuida a Red Uno sobre la segunda vuelta en Chuquisaca,Falso
4,2026-04-19T18:00:22,boliviaverifica.bo,https://boliviaverifica.bo/falso-imagen-de-mamen-saavedra-y-jp-velasco-fue-generada-con-ia/,Falso: imagen de Mamen Saavedra y JP Velasco fue generada con IA,Falso
5,2026-04-19T17:28:31,boliviaverifica.bo,https://boliviaverifica.bo/esta-no-es-la-cuenta-de-luis-ayllon-candidato-de-gente-nueva-de-chuquisaca/,"Esta no es la cuenta de Luís Ayllón, candidato de Gente Nueva de Chuquisaca",Falso
6,2026-04-19T16:25:04,boliviaverifica.bo,https://boliviaverifica.bo/la-encuesta-que-posiciona-a-oscar-chambi-con-45-en-oruro-es-falsa-y-no-esta-autorizada-por-el-tse/,La encuesta que posiciona a Óscar Chambi con 45% en Oruro es falsa y no está autorizada por el TSE,Falso
7,2026-04-19T15:17:16,boliviaverifica.bo,https://boliviaverifica.bo/encuesta-difundida-en-redes-que-posiciona-a-soruco-en-primer-lugar-es-falsa/,Encuesta difundida en redes que posiciona a Soruco en primer lugar es falsa,Falso
8,2026-04-19T13:50:20,boliviaverifica.bo,https://boliviaverifica.bo/audio-atribuido-al-candidato-luis-ayllon-fue-generado-con-inteligencia-artificial/,Audio atribuido al candidato Luis Ayllón fue generado con inteligencia artificial,Falso
9,2026-04-19T13:09:02,boliviaverifica.bo,https://boliviaverifica.bo/es-falso-que-mamen-saavedra-haya-pedido-votar-por-libre-el-video-fue-alterado-con-ia/,"Es falso que Mamen Saavedra haya pedido votar por Libre, el video fue alterado con IA",Falso
10,2026-04-19T09:34:47,boliviaverifica.bo,https://boliviaverifica.bo/este-audio-de-adrian-oliva-fue-manipulado-con-ia-incluso-el-video-de-unitel/,"Este audio de Adrián Oliva fue manipulado con IA, incluso el video de Unitel",Falso
11,2026-04-19T09:00:56,boliviaverifica.bo,https://boliviaverifica.bo/las-plantas-nucleares-modulares-si-generan-residuos-y-no-pueden-enterrarse-simplemente-como-afirmo-otto-ritter/,"Las plantas nucleares modulares sí generan residuos y no pueden enterrarse simplemente, como afirmó Otto Ritter",Falso
12,2026-04-15T18:30:58,boliviaverifica.bo,https://boliviaverifica.bo/es-falso-el-audio-atribuido-a-juan-carlos-medrano-que-circula-en-redes-tras-el-debate-electoral/,Es falso el audio atribuido a Juan Carlos Medrano que circula en redes tras el debate electoral,Falso
